tower,income_adjusted,st_xmin,st_ymin,st_xmax,st_ymax
2011,poor,4371855.11192386,-770606.218698469,4373595.08192386,-768866.248698469
1652,poor,4364148.22869094,-759398.319692507,4365888.19869094,-757658.349692507
1873,average,4369373.12147717,-758884.496145136,4371113.09147717,-757144.526145136
1763,poor,4366874.7438974,-768995.867309604,4368614.7138974,-767255.897309604
1856,poor,4369120.53434645,-761619.920078543,4370860.50434645,-759879.950078543
1410,poor,4347453.54886457,-744164.059609497,4349193.51886457,-742424.089609497
1881,poor,4369607.48564207,-774299.810883706,4371347.45564207,-772559.840883706
1518,poor,4358094.56301222,-766318.603879332,4359834.53301222,-764578.633879332
1758,poor,4366688.36389944,-761132.682532616,4368428.33389944,-759392.712532616
1853,poor,4369126.30110606,-766311.441976447,4370866.27110606,-764571.471976447
2018,wealthy,4371933.83337598,-753794.802254039,4373673.80337598,-752054.832254039
1733,poor,4366057.07438955,-758930.1096351,4367797.04438955,-757190.1396351
1648,wealthy,4363995.94720469,-748335.012170622,4365735.91720469,-746595.042170622
1969,wealthy,4371366.9778247,-760637.585637875,4373106.9478247,-758897.615637875
2009,wealthy,4372605.99723767,-758003.954093113,4374345.96723767,-756263.984093113
1974,average,4371231.84997225,-762939.566067543,4372971.81997225,-761199.596067543
1468,average,4354336.44326481,-758891.864659558,4356076.41326481,-757151.894659558
1726,average,4365610.70467445,-755412.898474017,4367350.67467446,-753672.928474017
1469,average,4354546.76157616,-757469.263490743,4356286.73157616,-755729.293490743
1966,average,4371283.26356288,-764937.128351398,4373023.23356288,-763197.158351398
1688,average,4364992.74576704,-759093.934948919,4366732.71576704,-757353.964948919
1507,average,4357431.30534653,-740692.5866978,4359171.27534653,-738952.6166978
1523,average,4358664.0710827,-757586.180203049,4360404.0410827,-755846.210203049
1807,poor,4367953.7812065,-764170.242590256,4369693.7512065,-762430.272590256
1792,poor,4367609.70266456,-758142.573165922,4369349.67266456,-756402.603165922
1705,poor,4365245.80399462,-769514.928816337,4366985.77399463,-767774.958816337
1800,poor,4367929.74307935,-758903.561321819,4369669.71307935,-757163.591321819
1504,poor,4357464.60846453,-760846.071447662,4359204.57846453,-759106.101447662
1472,poor,4353178.06963916,-746767.368935372,4354918.03963916,-745027.398935372
1815,poor,4368222.1747297,-759459.399545636,4369962.1447297,-757719.429545637
2022,wealthy,4371967.12819097,-760415.667426801,4373707.09819097,-758675.697426801
1487,wealthy,4356070.33931177,-757414.186576593,4357810.30931177,-755674.216576593
1654,wealthy,4364432.52842836,-754956.151466728,4366172.49842836,-753216.181466728
1769,wealthy,4367052.83129756,-757600.795790879,4368792.80129756,-755860.825790879
1833,wealthy,4368621.21194996,-755971.262757095,4370361.18194996,-754231.292757095
1783,wealthy,4367302.49146674,-756552.333151364,4369042.46146674,-754812.363151364
1633,wealthy,4363553.50974011,-751218.239517859,4365293.47974011,-749478.269517859
1885,average,4369746.16337168,-763206.356585544,4371486.13337168,-761466.386585544
1490,average,4356516.97868575,-772271.278374102,4358256.94868576,-770531.308374102
1864,average,4369282.51613494,-759419.969475846,4371022.48613494,-757679.999475846
1512,average,4357918.65588174,-761715.641131217,4359658.62588174,-759975.671131217
1427,average,4350322.88126698,-738905.87596325,4352062.85126698,-737165.90596325
1926,average,4370514.95498773,-773664.419432683,4372254.92498773,-771924.449432683
1802,poor,4367862.19739336,-767147.188663799,4369602.16739336,-765407.218663799
1741,poor,4366051.19797429,-771159.293298554,4367791.16797429,-769419.323298554
2032,poor,4372347.49579509,-764715.858617322,4374087.46579509,-762975.888617322
1777,poor,4366997.07178275,-764254.52415821,4368737.04178275,-762514.55415821
1779,poor,4367214.58231186,-767341.711237083,4368954.55231187,-765601.741237083
1495,poor,4356226.38136624,-774261.796610089,4357966.35136624,-772521.826610089
1478,poor,4354996.09627477,-771605.562493249,4356736.06627477,-769865.592493249
1707,poor,4365233.6605932,-760432.626114462,4366973.6305932,-758692.656114462
1621,average,4371270.61319762,-734640.023493934,4373010.58319762,-732900.053493934
1933,poor,4370527.48553193,-772796.365305107,4372267.45553193,-771056.395305107
1496,poor,4357341.6616005,-774088.389015018,4359081.6316005,-772348.419015018
1502,poor,4357585.75973695,-748262.888770394,4359325.72973695,-746522.918770394
1948,poor,4371188.68091646,-774121.527168589,4372928.65091646,-772381.557168589
1987,wealthy,4371557.70902811,-761882.852023238,4373297.67902811,-760142.882023238
